p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Ssus11-CAPG	1.25904424702589e-68	-0.522721726175192	0.156	0.374	1.51916278846143e-64	0	Ssus11-CAPG
Ssus11-ENSSSCG00000014361	1.37960043256145e-68	-0.266965467574952	0.074	0.279	1.66462588192865e-64	0	Ssus11-ENSSSCG00000014361
Ssus11-HOMER2	1.47815767724304e-68	-0.371677899853732	0.102	0.318	1.78354505336145e-64	0	Ssus11-HOMER2
Ssus11-AKT1	2.45485231192072e-68	-0.301606297082185	0.126	0.355	2.96202479956354e-64	0	Ssus11-AKT1
Ssus11-SIVA1	2.58362047466891e-68	-0.273007084685056	0.12	0.35	3.1173964647355e-64	0	Ssus11-SIVA1
Ssus11-MX1	2.89748248415797e-68	-0.586382923704668	0.127	0.343	3.496102365385e-64	0	Ssus11-MX1
Ssus11-CLTB	3.97657103736235e-68	-0.280458575142998	0.172	0.43	4.79813061368141e-64	0	Ssus11-CLTB
Ssus11-PSMA7	5.25045419487151e-68	-0.287097946055551	0.221	0.495	6.33519803153196e-64	0	Ssus11-PSMA7
Ssus11-MRPL24	6.10875199497253e-68	-0.268232680579212	0.133	0.37	7.37082015713386e-64	0	Ssus11-MRPL24
Ssus11-FHL3	7.34229369882587e-68	-0.323744648260907	0.075	0.275	8.85921157700329e-64	0	Ssus11-FHL3
